Abbreviation,TeamName,GridPosition,Position,Status,box,median_laptime,Q_best_sec,year,race,rainfall
LAT,Williams,20.0,16.0,Finished,3.0,101.118,93.634,2022,Bahrain Grand Prix,False
ALB,Williams,20.0,10.0,Finished,1.0,85.48,80.135,2022,Australian Grand Prix,False
ALO,Alpine,20.0,9.0,Finished,3.0,88.735,81.043,2022,Spanish Grand Prix,False
ZHO,Alfa Romeo,20.0,16.0,Finished,2.0,82.3535,75.606,2022,Monaco Grand Prix,True
MSC,Haas F1 Team,20.0,14.0,Finished,2.0,110.5365,105.775,2022,Azerbaijan Grand Prix,False
TSU,AlphaTauri,20.0,18.0,DNF,1.0,79.3965,96.575,2022,Canadian Grand Prix,False
STR,Aston Martin,20.0,11.0,Finished,3.0,94.7755,103.43,2022,British Grand Prix,True
MAG,Haas F1 Team,20.0,18.0,DNF,2.0,100.177,92.649,2022,French Grand Prix,False
LAT,Williams,20.0,18.0,Finished,4.0,78.4415,73.353,2022,Dutch Grand Prix,False
TSU,AlphaTauri,20.0,14.0,Finished,2.0,87.3745,82.02,2022,Italian Grand Prix,False
LAT,Williams,20.0,9.0,Finished,2.0,109.9115,91.511,2022,Japanese Grand Prix,True
STR,Aston Martin,20.0,15.0,Finished,2.0,84.3935,80.52,2022,Mexico City Grand Prix,False
LAT,Williams,20.0,19.0,DNF,2.0,92.228,86.054,2022,Abu Dhabi Grand Prix,False
STR,Aston Martin,19.0,12.0,Finished,3.0,100.395,93.032,2022,Bahrain Grand Prix,False
LAT,Williams,19.0,16.0,Finished,1.0,82.8135,81.971,2022,Emilia Romagna Grand Prix,False
LAT,Williams,19.0,14.0,Finished,1.0,96.566,91.325,2022,Miami Grand Prix,True
LAT,Williams,19.0,16.0,Finished,3.0,90.0655,81.915,2022,Spanish Grand Prix,False
LAT,Williams,19.0,15.0,Finished,3.0,82.3415,74.403,2022,Monaco Grand Prix,True
STR,Aston Martin,19.0,16.0,Finished,1.0,111.028,105.371,2022,Azerbaijan Grand Prix,False
LEC,Ferrari,19.0,5.0,Finished,1.0,78.662,93.008,2022,Canadian Grand Prix,False
MSC,Haas F1 Team,19.0,8.0,Finished,3.0,94.5405,102.708,2022,British Grand Prix,True
ALO,Alpine,19.0,10.0,Finished,3.0,71.173,66.103,2022,Austrian Grand Prix,False
SAI,Ferrari,19.0,5.0,Finished,2.0,98.599,91.081,2022,French Grand Prix,False
LAT,Williams,19.0,18.0,Finished,3.0,85.567,79.57,2022,Hungarian Grand Prix,True
MSC,Haas F1 Team,19.0,17.0,Finished,2.0,115.36,107.718,2022,Belgian Grand Prix,False
VET,Aston Martin,19.0,14.0,Finished,4.0,77.777,72.391,2022,Dutch Grand Prix,False
HAM,Mercedes,19.0,5.0,Finished,1.0,87.183,81.524,2022,Italian Grand Prix,False
LAT,Williams,19.0,19.0,DNF,0.0,127.272,117.532,2022,Singapore Grand Prix,True
STR,Aston Martin,19.0,12.0,Finished,3.0,108.871,91.419,2022,Japanese Grand Prix,True
TSU,AlphaTauri,19.0,10.0,Finished,2.0,103.298,97.147,2022,United States Grand Prix,False
MAG,Haas F1 Team,19.0,17.0,Finished,1.0,85.07,79.833,2022,Mexico City Grand Prix,False
ALB,Williams,19.0,15.0,Finished,3.0,77.868,71.631,2022,São Paulo Grand Prix,False
ALB,Williams,19.0,13.0,Finished,2.0,91.691,86.028,2022,Abu Dhabi Grand Prix,False
RIC,McLaren,18.0,14.0,Finished,3.0,100.627,92.945,2022,Bahrain Grand Prix,False
LAT,Williams,18.0,18.0,DNF,0.0,98.161,91.817,2022,Saudi Arabian Grand Prix,False
LAT,Williams,18.0,16.0,Finished,2.0,85.375,81.372,2022,Australian Grand Prix,False
ALB,Williams,18.0,9.0,Finished,1.0,95.112,91.266,2022,Miami Grand Prix,True
ALB,Williams,18.0,18.0,Finished,4.0,90.4955,81.645,2022,Spanish Grand Prix,False
STR,Aston Martin,18.0,14.0,Finished,4.0,82.264,73.678,2022,Monaco Grand Prix,True
LAT,Williams,18.0,15.0,Finished,2.0,111.396,105.367,2022,Azerbaijan Grand Prix,False
LAT,Williams,18.0,16.0,Finished,2.0,80.0635,95.66,2022,Canadian Grand Prix,False
VET,Aston Martin,18.0,9.0,Finished,3.0,94.3865,102.666,2022,British Grand Prix,True
VET,Aston Martin,18.0,17.0,Finished,2.0,71.376,67.083,2022,Austrian Grand Prix,False
LAT,Williams,18.0,17.0,DNF,2.0,100.761,93.794,2022,French Grand Prix,False
VET,Aston Martin,18.0,10.0,Finished,2.0,85.146,79.273,2022,Hungarian Grand Prix,True
ZHO,Alfa Romeo,18.0,14.0,Finished,2.0,114.92,106.085,2022,Belgian Grand Prix,False
MAG,Haas F1 Team,18.0,15.0,Finished,4.0,77.656,72.319,2022,Dutch Grand Prix,False
SAI,Ferrari,18.0,4.0,Finished,2.0,86.676,80.429,2022,Italian Grand Prix,False
ALB,Williams,18.0,17.0,DNF,0.0,123.5275,116.985,2022,Singapore Grand Prix,True
MAG,Haas F1 Team,18.0,14.0,Finished,2.0,110.3,91.352,2022,Japanese Grand Prix,True
ZHO,Alfa Romeo,18.0,12.0,Finished,2.0,104.066,96.97,2022,United States Grand Prix,False
LAT,Williams,18.0,18.0,Finished,2.0,85.389,81.167,2022,Mexico City Grand Prix,False
LAT,Williams,18.0,16.0,Finished,3.0,77.863,75.095,2022,São Paulo Grand Prix,False
BOT,Alfa Romeo,18.0,15.0,Finished,1.0,92.561,85.892,2022,Abu Dhabi Grand Prix,False
HUL,Aston Martin,17.0,17.0,Finished,3.0,100.815,92.777,2022,Bahrain Grand Prix,False
HUL,Aston Martin,17.0,12.0,Finished,1.0,96.5245,90.543,2022,Saudi Arabian Grand Prix,False
VET,Aston Martin,17.0,19.0,DNF,0.0,86.179,81.149,2022,Australian Grand Prix,False
GAS,AlphaTauri,17.0,12.0,Finished,1.0,82.5635,80.732,2022,Emilia Romagna Grand Prix,False
ZHO,Alfa Romeo,17.0,20.0,Finished,0.0,96.727,91.02,2022,Miami Grand Prix,True
STR,Aston Martin,17.0,15.0,Finished,3.0,89.108,81.418,2022,Spanish Grand Prix,False
GAS,AlphaTauri,17.0,11.0,Finished,3.0,82.393,73.66,2022,Monaco Grand Prix,True
ALB,Williams,17.0,12.0,Finished,2.0,110.1245,104.719,2022,Azerbaijan Grand Prix,False
STR,Aston Martin,17.0,10.0,Finished,1.0,79.428,95.532,2022,Canadian Grand Prix,False
MAG,Haas F1 Team,17.0,10.0,Finished,2.0,95.0355,102.159,2022,British Grand Prix,True
LAT,Williams,17.0,19.0,Finished,2.0,72.266,67.003,2022,Austrian Grand Prix,False
MSC,Haas F1 Team,17.0,15.0,Finished,2.0,100.135,93.701,2022,French Grand Prix,False
ALB,Williams,17.0,17.0,Finished,3.0,85.259,79.256,2022,Hungarian Grand Prix,True
NOR,McLaren,17.0,12.0,Finished,2.0,114.8685,106.178,2022,Belgian Grand Prix,False
RIC,McLaren,17.0,17.0,Finished,5.0,77.85,72.081,2022,Dutch Grand Prix,False
MSC,Haas F1 Team,17.0,12.0,Finished,1.0,87.645,83.005,2022,Italian Grand Prix,False
OCO,Alpine,17.0,16.0,DNF,0.0,122.983,116.337,2022,Singapore Grand Prix,True
GAS,AlphaTauri,17.0,18.0,Finished,4.0,109.131,91.322,2022,Japanese Grand Prix,True
LAT,Williams,17.0,17.0,Finished,2.0,104.563,97.244,2022,United States Grand Prix,False
ALB,Williams,17.0,12.0,Finished,1.0,84.797,80.859,2022,Mexico City Grand Prix,False
ALO,Alpine,17.0,5.0,Finished,3.0,76.845,72.504,2022,São Paulo Grand Prix,False
GAS,AlphaTauri,17.0,14.0,Finished,1.0,92.05,85.859,2022,Abu Dhabi Grand Prix,False
TSU,AlphaTauri,16.0,8.0,Finished,3.0,99.574,92.75,2022,Bahrain Grand Prix,False
ALB,Williams,16.0,14.0,DNF,1.0,96.801,90.492,2022,Saudi Arabian Grand Prix,False
MAG,Haas F1 Team,16.0,14.0,Finished,1.0,85.421,80.254,2022,Australian Grand Prix,False
OCO,Alpine,16.0,14.0,Finished,1.0,82.398,82.338,2022,Emilia Romagna Grand Prix,False
MAG,Haas F1 Team,16.0,16.0,Finished,2.0,95.1405,90.975,2022,Miami Grand Prix,True
VET,Aston Martin,16.0,11.0,Finished,2.0,89.347,80.954,2022,Spanish Grand Prix,False
ALB,Williams,16.0,18.0,Finished,3.0,95.701,73.611,2022,Monaco Grand Prix,True
MAG,Haas F1 Team,16.0,17.0,DNF,1.0,110.476,104.643,2022,Azerbaijan Grand Prix,False
VET,Aston Martin,16.0,12.0,Finished,2.0,79.012,94.512,2022,Canadian Grand Prix,False
TSU,AlphaTauri,16.0,16.0,Finished,2.0,71.7875,66.851,2022,Austrian Grand Prix,False
ZHO,Alfa Romeo,16.0,16.0,Finished,2.0,100.368,93.674,2022,French Grand Prix,False
TSU,AlphaTauri,16.0,19.0,Finished,3.0,85.5535,79.24,2022,Hungarian Grand Prix,True
OCO,Alpine,16.0,7.0,Finished,2.0,114.541,105.18,2022,Belgian Grand Prix,False
BOT,Alfa Romeo,16.0,19.0,DNF,2.0,77.9695,71.961,2022,Dutch Grand Prix,False
MAG,Haas F1 Team,16.0,16.0,Finished,2.0,88.1315,82.908,2022,Italian Grand Prix,False
RIC,McLaren,16.0,5.0,Finished,1.0,119.323,116.226,2022,Singapore Grand Prix,True
MSC,Haas F1 Team,16.0,15.0,Finished,2.0,103.6775,97.111,2022,United States Grand Prix,False
VET,Aston Martin,16.0,14.0,Finished,1.0,84.883,80.419,2022,Mexico City Grand Prix,False
OCO,Alpine,16.0,8.0,Finished,2.0,77.135,72.425,2022,São Paulo Grand Prix,False
MAG,Haas F1 Team,16.0,17.0,Finished,1.0,92.653,85.834,2022,Abu Dhabi Grand Prix,False
ZHO,Alfa Romeo,15.0,10.0,Finished,3.0,99.842,93.543,2022,Bahrain Grand Prix,False
HAM,Mercedes,15.0,10.0,Finished,1.0,95.6555,90.343,2022,Saudi Arabian Grand Prix,False
MSC,Haas F1 Team,15.0,13.0,Finished,1.0,84.868,80.465,2022,Australian Grand Prix,False
STR,Aston Martin,15.0,10.0,Finished,1.0,82.3305,88.119,2022,Emilia Romagna Grand Prix,False
MSC,Haas F1 Team,15.0,15.0,Finished,2.0,95.07,90.423,2022,Miami Grand Prix,True
ZHO,Alfa Romeo,15.0,19.0,DNF,1.0,90.114,81.094,2022,Spanish Grand Prix,False
MSC,Haas F1 Team,15.0,19.0,DNF,2.0,96.8405,73.081,2022,Monaco Grand Prix,True
BOT,Alfa Romeo,15.0,11.0,Finished,1.0,110.6365,104.444,2022,Azerbaijan Grand Prix,False
GAS,AlphaTauri,15.0,14.0,Finished,2.0,79.162,94.492,2022,Canadian Grand Prix,False
OCO,Alpine,15.0,15.0,Finished,2.0,94.9955,105.19,2022,British Grand Prix,True
ALB,Williams,15.0,12.0,Finished,2.0,71.639,66.23,2022,Austrian Grand Prix,False
STR,Aston Martin,15.0,10.0,Finished,1.0,100.066,93.439,2022,French Grand Prix,False
MSC,Haas F1 Team,15.0,14.0,Finished,2.0,85.617,79.202,2022,Hungarian Grand Prix,True
LEC,Ferrari,15.0,6.0,Finished,3.0,114.595,104.553,2022,Belgian Grand Prix,False
ALB,Williams,15.0,12.0,Finished,4.0,77.456,71.802,2022,Dutch Grand Prix,False
BOT,Alfa Romeo,15.0,13.0,Finished,1.0,87.6875,82.235,2022,Italian Grand Prix,False
BOT,Alfa Romeo,15.0,11.0,Finished,1.0,121.548,116.083,2022,Singapore Grand Prix,True
MSC,Haas F1 Team,15.0,17.0,Finished,2.0,110.2795,91.439,2022,Japanese Grand Prix,True
RIC,McLaren,15.0,16.0,Finished,2.0,104.2455,97.046,2022,United States Grand Prix,False
MSC,Haas F1 Team,15.0,16.0,Finished,1.0,84.4985,80.419,2022,Mexico City Grand Prix,False
STR,Aston Martin,15.0,10.0,Finished,2.0,77.731,72.21,2022,São Paulo Grand Prix,False
ZHO,Alfa Romeo,15.0,12.0,Finished,2.0,91.687,85.408,2022,Abu Dhabi Grand Prix,False
ALB,Williams,14.0,13.0,Finished,3.0,100.8,92.664,2022,Bahrain Grand Prix,False
RIC,McLaren,14.0,17.0,DNF,1.0,95.955,89.773,2022,Saudi Arabian Grand Prix,False
ZHO,Alfa Romeo,14.0,11.0,Finished,1.0,85.3895,80.155,2022,Australian Grand Prix,False
HAM,Mercedes,14.0,13.0,Finished,1.0,82.7155,81.138,2022,Emilia Romagna Grand Prix,False
RIC,McLaren,14.0,13.0,Finished,2.0,95.439,90.31,2022,Miami Grand Prix,True
GAS,AlphaTauri,14.0,13.0,Finished,3.0,89.404,80.861,2022,Spanish Grand Prix,False
RIC,McLaren,14.0,13.0,Finished,2.0,82.339,72.964,2022,Monaco Grand Prix,True
ZHO,Alfa Romeo,14.0,18.0,DNF,1.0,110.5425,103.79,2022,Azerbaijan Grand Prix,False
NOR,McLaren,14.0,15.0,Finished,2.0,79.3755,94.066,2022,Canadian Grand Prix,False
RIC,McLaren,14.0,13.0,Finished,4.0,94.652,104.355,2022,British Grand Prix,True
GAS,AlphaTauri,14.0,15.0,Finished,2.0,71.446,66.16,2022,Austrian Grand Prix,False
GAS,AlphaTauri,14.0,12.0,Finished,1.0,100.181,93.439,2022,French Grand Prix,False
STR,Aston Martin,14.0,11.0,Finished,2.0,85.069,79.137,2022,Hungarian Grand Prix,True
VER,Red Bull Racing,14.0,1.0,Finished,2.0,112.3275,103.665,2022,Belgian Grand Prix,False
ZHO,Alfa Romeo,14.0,16.0,Finished,4.0,77.605,71.704,2022,Dutch Grand Prix,False
OCO,Alpine,14.0,11.0,Finished,1.0,87.391,82.13,2022,Italian Grand Prix,False
ZHO,Alfa Romeo,14.0,20.0,DNF,0.0,126.289,115.518,2022,Singapore Grand Prix,True
ZHO,Alfa Romeo,14.0,16.0,Finished,3.0,109.819,90.953,2022,Japanese Grand Prix,True
ALO,Alpine,14.0,7.0,Finished,2.0,103.5085,95.876,2022,United States Grand Prix,False
GAS,AlphaTauri,14.0,11.0,Finished,1.0,84.7515,79.672,2022,Mexico City Grand Prix,False
BOT,Alfa Romeo,14.0,9.0,Finished,2.0,77.081,75.486,2022,São Paulo Grand Prix,False
STR,Aston Martin,14.0,8.0,Finished,2.0,91.161,85.359,2022,Abu Dhabi Grand Prix,False
NOR,McLaren,13.0,15.0,Finished,3.0,101.658,92.008,2022,Bahrain Grand Prix,False
STR,Aston Martin,13.0,13.0,Finished,1.0,96.685,91.009,2022,Saudi Arabian Grand Prix,False
TSU,AlphaTauri,13.0,15.0,Finished,1.0,85.428,79.424,2022,Australian Grand Prix,False
VET,Aston Martin,13.0,8.0,Finished,1.0,82.416,91.062,2022,Emilia Romagna Grand Prix,False
TSU,AlphaTauri,13.0,10.0,Finished,3.0,88.793,80.639,2022,Spanish Grand Prix,False
MAG,Haas F1 Team,13.0,20.0,Finished,0.0,98.7815,72.921,2022,Monaco Grand Prix,True
OCO,Alpine,13.0,10.0,Finished,1.0,110.781,103.585,2022,Azerbaijan Grand Prix,False
PER,Red Bull Racing,13.0,20.0,DNF,0.0,79.541,93.127,2022,Canadian Grand Prix,False
TSU,AlphaTauri,13.0,14.0,Finished,3.0,95.521,104.311,2022,British Grand Prix,True
ZHO,Alfa Romeo,13.0,14.0,Finished,2.0,71.6085,66.901,2022,Austrian Grand Prix,False
ALB,Williams,13.0,13.0,Finished,1.0,100.265,93.307,2022,French Grand Prix,False
MAG,Haas F1 Team,13.0,16.0,Finished,3.0,85.702,78.825,2022,Hungarian Grand Prix,True
BOT,Alfa Romeo,13.0,19.0,DNF,0.0,-4611685955.601888,107.866,2022,Belgian Grand Prix,False
ALO,Alpine,13.0,6.0,Finished,3.0,76.9165,71.613,2022,Dutch Grand Prix,False
PER,Red Bull Racing,13.0,6.0,Finished,2.0,86.346,81.206,2022,Italian Grand Prix,False
VET,Aston Martin,13.0,8.0,Finished,1.0,118.943,114.38,2022,Singapore Grand Prix,True
TSU,AlphaTauri,13.0,13.0,Finished,3.0,108.718,90.808,2022,Japanese Grand Prix,True
MAG,Haas F1 Team,13.0,9.0,Finished,1.0,103.8765,96.949,2022,United States Grand Prix,False
TSU,AlphaTauri,13.0,20.0,DNF,1.0,84.691,79.589,2022,Mexico City Grand Prix,False
ZHO,Alfa Romeo,13.0,12.0,Finished,2.0,77.507,75.197,2022,São Paulo Grand Prix,False
RIC,McLaren,13.0,9.0,Finished,1.0,91.322,85.045,2022,Abu Dhabi Grand Prix,False
MSC,Haas F1 Team,12.0,11.0,Finished,2.0,100.62,91.998,2022,Bahrain Grand Prix,False
ZHO,Alfa Romeo,12.0,11.0,Finished,2.0,96.151,89.819,2022,Saudi Arabian Grand Prix,False
BOT,Alfa Romeo,12.0,8.0,Finished,1.0,85.028,79.41,2022,Australian Grand Prix,False
TSU,AlphaTauri,12.0,7.0,Finished,1.0,81.868,80.474,2022,Emilia Romagna Grand Prix,False
RUS,Mercedes,12.0,5.0,Finished,1.0,94.586,90.173,2022,Miami Grand Prix,True
OCO,Alpine,12.0,7.0,Finished,3.0,88.8665,80.638,2022,Spanish Grand Prix,False
BOT,Alfa Romeo,12.0,9.0,Finished,2.0,82.314,72.909,2022,Monaco Grand Prix,True
RIC,McLaren,12.0,8.0,Finished,1.0,110.158,103.574,2022,Azerbaijan Grand Prix,False
ALB,Williams,12.0,13.0,Finished,2.0,79.3635,86.858,2022,Canadian Grand Prix,False
BOT,Alfa Romeo,12.0,17.0,DNF,1.0,95.527,104.232,2022,British Grand Prix,True
STR,Aston Martin,12.0,13.0,Finished,2.0,71.7675,66.847,2022,Austrian Grand Prix,False
VET,Aston Martin,12.0,11.0,Finished,1.0,100.06,93.276,2022,French Grand Prix,False
ZHO,Alfa Romeo,12.0,13.0,Finished,2.0,85.457,78.573,2022,Hungarian Grand Prix,True
MAG,Haas F1 Team,12.0,16.0,Finished,2.0,114.773,106.557,2022,Belgian Grand Prix,False
OCO,Alpine,12.0,9.0,Finished,3.0,76.977,71.605,2022,Dutch Grand Prix,False
STR,Aston Martin,12.0,18.0,DNF,1.0,87.8195,82.748,2022,Italian Grand Prix,False
MSC,Haas F1 Team,12.0,13.0,Finished,2.0,120.7165,114.37,2022,Singapore Grand Prix,True
BOT,Alfa Romeo,12.0,15.0,Finished,2.0,110.308,90.709,2022,Japanese Grand Prix,True
LEC,Ferrari,12.0,3.0,Finished,2.0,101.5735,94.421,2022,United States Grand Prix,False
ZHO,Alfa Romeo,12.0,13.0,Finished,1.0,84.789,79.476,2022,Mexico City Grand Prix,False
MSC,Haas F1 Team,12.0,13.0,Finished,2.0,77.434,76.361,2022,São Paulo Grand Prix,False
MSC,Haas F1 Team,12.0,16.0,Finished,2.0,92.045,85.225,2022,Abu Dhabi Grand Prix,False
OCO,Alpine,11.0,7.0,Finished,3.0,99.766,91.782,2022,Bahrain Grand Prix,False
NOR,McLaren,11.0,7.0,Finished,1.0,96.015,89.651,2022,Saudi Arabian Grand Prix,False
GAS,AlphaTauri,11.0,9.0,Finished,1.0,85.063,79.226,2022,Australian Grand Prix,False
RUS,Mercedes,11.0,4.0,Finished,1.0,81.897,80.757,2022,Emilia Romagna Grand Prix,False
ALO,Alpine,11.0,11.0,Finished,1.0,95.083,90.16,2022,Miami Grand Prix,True
NOR,McLaren,11.0,8.0,Finished,3.0,89.1505,80.471,2022,Spanish Grand Prix,False
TSU,AlphaTauri,11.0,17.0,Finished,4.0,83.1975,72.797,2022,Monaco Grand Prix,True
NOR,McLaren,11.0,9.0,Finished,1.0,110.23,103.398,2022,Azerbaijan Grand Prix,False
BOT,Alfa Romeo,11.0,7.0,Finished,1.0,78.928,86.788,2022,Canadian Grand Prix,False
GAS,AlphaTauri,11.0,16.0,DNF,2.0,95.512,103.702,2022,British Grand Prix,True
RIC,McLaren,11.0,9.0,Finished,2.0,71.548,66.613,2022,Austrian Grand Prix,False
BOT,Alfa Romeo,11.0,14.0,Finished,2.0,100.014,93.052,2022,French Grand Prix,False
PER,Red Bull Racing,11.0,5.0,Finished,2.0,83.8535,78.516,2022,Hungarian Grand Prix,True
LAT,Williams,11.0,18.0,Finished,3.0,115.469,106.401,2022,Belgian Grand Prix,False
GAS,AlphaTauri,11.0,11.0,Finished,4.0,77.327,71.512,2022,Dutch Grand Prix,False
VET,Aston Martin,11.0,20.0,DNF,0.0,87.956,82.636,2022,Italian Grand Prix,False
STR,Aston Martin,11.0,6.0,Finished,1.0,119.199,114.211,2022,Singapore Grand Prix,True
RIC,McLaren,11.0,11.0,Finished,2.0,109.5515,90.659,2022,Japanese Grand Prix,True
GAS,AlphaTauri,11.0,14.0,Finished,2.0,103.0675,96.74,2022,United States Grand Prix,False
RIC,McLaren,11.0,7.0,Finished,1.0,84.548,79.325,2022,Mexico City Grand Prix,False
TSU,AlphaTauri,11.0,11.0,Finished,2.0,91.3995,85.219,2022,Abu Dhabi Grand Prix,False
GAS,AlphaTauri,10.0,20.0,DNF,2.0,99.513,92.338,2022,Bahrain Grand Prix,False
MAG,Haas F1 Team,10.0,9.0,Finished,1.0,95.574,89.588,2022,Saudi Arabian Grand Prix,False
ALO,Alpine,10.0,17.0,Finished,2.0,85.16,78.815,2022,Australian Grand Prix,False
MSC,Haas F1 Team,10.0,17.0,Finished,2.0,82.193,80.916,2022,Emilia Romagna Grand Prix,False
MSC,Haas F1 Team,10.0,14.0,Finished,2.0,89.737,80.368,2022,Spanish Grand Prix,False
OCO,Alpine,10.0,12.0,Finished,2.0,82.636,73.047,2022,Monaco Grand Prix,True
ALO,Alpine,10.0,7.0,Finished,1.0,109.541,103.173,2022,Azerbaijan Grand Prix,False
ZHO,Alfa Romeo,10.0,8.0,Finished,2.0,79.2435,84.03,2022,Canadian Grand Prix,False
LAT,Williams,10.0,12.0,Finished,3.0,95.08,123.095,2022,British Grand Prix,True
NOR,McLaren,10.0,7.0,Finished,2.0,71.3495,85.847,2022,Austrian Grand Prix,False
OCO,Alpine,10.0,8.0,Finished,1.0,99.914,93.048,2022,French Grand Prix,False
VER,Red Bull Racing,10.0,1.0,Finished,2.0,83.525,78.823,2022,Hungarian Grand Prix,True
VET,Aston Martin,10.0,8.0,Finished,2.0,114.494,106.344,2022,Belgian Grand Prix,False
STR,Aston Martin,10.0,10.0,Finished,4.0,77.053,71.416,2022,Dutch Grand Prix,False
LAT,Williams,10.0,15.0,Finished,2.0,87.474,82.587,2022,Italian Grand Prix,False
TSU,AlphaTauri,10.0,15.0,DNF,1.0,122.801,111.983,2022,Singapore Grand Prix,True
NOR,McLaren,10.0,10.0,Finished,2.0,109.72,91.003,2022,Japanese Grand Prix,True
VET,Aston Martin,10.0,8.0,Finished,2.0,102.4685,96.398,2022,United States Grand Prix,False
OCO,Alpine,10.0,8.0,Finished,1.0,84.4495,79.01,2022,Mexico City Grand Prix,False
GAS,AlphaTauri,10.0,14.0,Finished,3.0,77.392,71.675,2022,São Paulo Grand Prix,False
ALO,Alpine,10.0,20.0,Finished,1.0,92.278,85.096,2022,Abu Dhabi Grand Prix,False
RUS,Mercedes,9.0,4.0,Finished,3.0,99.096,92.216,2022,Bahrain Grand Prix,False
GAS,AlphaTauri,9.0,8.0,Finished,1.0,96.0855,89.254,2022,Saudi Arabian Grand Prix,False
SAI,Ferrari,9.0,20.0,Finished,0.0,-4611685968.913388,79.408,2022,Australian Grand Prix,False
ALO,Alpine,9.0,19.0,DNF,0.0,136.968,89.202,2022,Emilia Romagna Grand Prix,False
TSU,AlphaTauri,9.0,12.0,Finished,2.0,95.405,89.932,2022,Miami Grand Prix,True
RIC,McLaren,9.0,12.0,Finished,3.0,89.28,80.297,2022,Spanish Grand Prix,False
VET,Aston Martin,9.0,10.0,Finished,3.0,82.257,72.732,2022,Monaco Grand Prix,True
VET,Aston Martin,9.0,6.0,Finished,1.0,109.567,103.091,2022,Azerbaijan Grand Prix,False
RIC,McLaren,9.0,11.0,Finished,2.0,79.1935,83.749,2022,Canadian Grand Prix,False
MSC,Haas F1 Team,9.0,6.0,Finished,2.0,71.2375,66.011,2022,Austrian Grand Prix,False
RIC,McLaren,9.0,9.0,Finished,1.0,99.928,92.922,2022,French Grand Prix,False
RIC,McLaren,9.0,15.0,Finished,2.0,85.105,78.379,2022,Hungarian Grand Prix,True
STR,Aston Martin,9.0,11.0,Finished,2.0,114.639,106.611,2022,Belgian Grand Prix,False
TSU,AlphaTauri,9.0,20.0,Finished,2.0,77.623,72.556,2022,Dutch Grand Prix,False
ZHO,Alfa Romeo,9.0,10.0,Finished,1.0,87.383,82.577,2022,Italian Grand Prix,False
MAG,Haas F1 Team,9.0,12.0,Finished,2.0,120.849,111.573,2022,Singapore Grand Prix,True
VET,Aston Martin,9.0,6.0,Finished,2.0,108.8905,90.554,2022,Japanese Grand Prix,True
PER,Red Bull Racing,9.0,4.0,Finished,2.0,101.7005,94.645,2022,United States Grand Prix,False
ALO,Alpine,9.0,19.0,DNF,1.0,84.389,78.939,2022,Mexico City Grand Prix,False
VET,Aston Martin,9.0,11.0,Finished,2.0,77.137,71.678,2022,São Paulo Grand Prix,False
VET,Aston Martin,9.0,10.0,Finished,1.0,91.462,84.961,2022,Abu Dhabi Grand Prix,False
ALO,Alpine,8.0,9.0,Finished,3.0,99.874,92.195,2022,Bahrain Grand Prix,False
BOT,Alfa Romeo,8.0,15.0,Finished,2.0,95.98,89.183,2022,Saudi Arabian Grand Prix,False
OCO,Alpine,8.0,7.0,Finished,1.0,84.8285,79.061,2022,Australian Grand Prix,False
MAG,Haas F1 Team,8.0,9.0,Finished,1.0,82.242,89.164,2022,Emilia Romagna Grand Prix,False
NOR,McLaren,8.0,19.0,DNF,1.0,95.416,89.75,2022,Miami Grand Prix,True
MAG,Haas F1 Team,8.0,17.0,Finished,2.0,89.785,79.682,2022,Spanish Grand Prix,False
HAM,Mercedes,8.0,8.0,Finished,3.0,81.987,72.56,2022,Monaco Grand Prix,True
TSU,AlphaTauri,8.0,13.0,Finished,2.0,109.8135,103.056,2022,Azerbaijan Grand Prix,False
RUS,Mercedes,8.0,4.0,Finished,2.0,77.93,83.557,2022,Canadian Grand Prix,False
HAM,Mercedes,8.0,3.0,Finished,2.0,70.699,73.151,2022,Austrian Grand Prix,False
TSU,AlphaTauri,8.0,20.0,Finished,1.0,101.138,92.78,2022,French Grand Prix,False
BOT,Alfa Romeo,8.0,20.0,DNF,1.0,85.1415,78.157,2022,Hungarian Grand Prix,True
MSC,Haas F1 Team,8.0,13.0,Finished,4.0,77.44,71.442,2022,Dutch Grand Prix,False
DEV,Williams,8.0,9.0,Finished,1.0,87.401,82.471,2022,Italian Grand Prix,False
VER,Red Bull Racing,8.0,7.0,Finished,2.0,119.035,111.395,2022,Singapore Grand Prix,True
RUS,Mercedes,8.0,8.0,Finished,2.0,108.4275,90.389,2022,Japanese Grand Prix,True
ALB,Williams,8.0,13.0,Finished,2.0,103.913,96.368,2022,United States Grand Prix,False
NOR,McLaren,8.0,9.0,Finished,1.0,84.4545,78.721,2022,Mexico City Grand Prix,False
OCO,Alpine,8.0,7.0,Finished,2.0,91.085,84.83,2022,Abu Dhabi Grand Prix,False
MAG,Haas F1 Team,7.0,5.0,Finished,3.0,99.384,91.808,2022,Bahrain Grand Prix,False
ALO,Alpine,7.0,16.0,Finished,1.0,96.098,89.147,2022,Saudi Arabian Grand Prix,False
RIC,McLaren,7.0,6.0,Finished,1.0,84.9485,79.032,2022,Australian Grand Prix,False
BOT,Alfa Romeo,7.0,5.0,Finished,1.0,81.808,90.439,2022,Emilia Romagna Grand Prix,False
GAS,AlphaTauri,7.0,18.0,DNF,2.0,95.238,89.69,2022,Miami Grand Prix,True
BOT,Alfa Romeo,7.0,6.0,Finished,2.0,88.5695,79.608,2022,Spanish Grand Prix,False
