Abbreviation,TeamName,GridPosition,Position,Status,box,median_laptime,Q_best_sec,year,race,rainfall
RUS,Williams,14.0,9.0,Finished,1.0,87.456,81.392,2021,Italian Grand Prix,False
OCO,Alpine,12.0,10.0,Finished,1.0,87.463,81.103,2021,Italian Grand Prix,False
LAT,Williams,13.0,11.0,Finished,1.0,87.469,81.925,2021,Italian Grand Prix,False
VET,Aston Martin,11.0,12.0,Finished,2.0,87.224,80.913,2021,Italian Grand Prix,False
GIO,Alfa Romeo Racing,7.0,13.0,Finished,2.0,87.023,80.808,2021,Italian Grand Prix,False
KUB,Alfa Romeo Racing,17.0,14.0,Finished,1.0,87.733,82.53,2021,Italian Grand Prix,False
MSC,Haas F1 Team,18.0,15.0,Finished,1.0,88.469,82.248,2021,Italian Grand Prix,False
MAZ,Haas F1 Team,16.0,16.0,DNF,3.0,88.8275,82.716,2021,Italian Grand Prix,False
HAM,Mercedes,4.0,17.0,DNF,0.0,86.778,79.651,2021,Italian Grand Prix,False
VER,Red Bull Racing,1.0,18.0,DNF,1.0,86.6795,79.966,2021,Italian Grand Prix,False
GAS,AlphaTauri,0.0,19.0,DNF,0.0,89.005,80.26,2021,Italian Grand Prix,False
HAM,Mercedes,4.0,1.0,Finished,2.0,101.478,104.05,2021,Russian Grand Prix,True
SAI,Ferrari,2.0,3.0,Finished,2.0,101.332,102.51,2021,Russian Grand Prix,True
RIC,McLaren,5.0,4.0,Finished,2.0,101.548,104.156,2021,Russian Grand Prix,True
BOT,Mercedes,16.0,5.0,Finished,2.0,101.8,104.71,2021,Russian Grand Prix,True
ALO,Alpine,6.0,6.0,Finished,2.0,101.412,104.204,2021,Russian Grand Prix,True
NOR,McLaren,1.0,7.0,Finished,2.0,100.906,101.993,2021,Russian Grand Prix,True
RAI,Alfa Romeo Racing,13.0,8.0,Finished,2.0,101.317,109.586,2021,Russian Grand Prix,True
PER,Red Bull Racing,8.0,9.0,Finished,2.0,101.498,105.337,2021,Russian Grand Prix,True
RUS,Williams,3.0,10.0,Finished,2.0,101.632,102.983,2021,Russian Grand Prix,True
STR,Aston Martin,7.0,11.0,Finished,2.0,101.392,104.956,2021,Russian Grand Prix,True
VET,Aston Martin,10.0,12.0,Finished,2.0,101.436,106.573,2021,Russian Grand Prix,True
GAS,AlphaTauri,11.0,13.0,Finished,2.0,101.769,106.641,2021,Russian Grand Prix,True
OCO,Alpine,9.0,14.0,Finished,2.0,101.397,105.865,2021,Russian Grand Prix,True
LEC,Ferrari,19.0,15.0,Finished,2.0,100.9205,108.47,2021,Russian Grand Prix,True
GIO,Alfa Romeo Racing,17.0,16.0,Finished,2.0,102.1615,111.023,2021,Russian Grand Prix,True
TSU,AlphaTauri,12.0,17.0,Finished,3.0,101.3065,106.751,2021,Russian Grand Prix,True
MAZ,Haas F1 Team,15.0,18.0,Finished,2.0,103.132,113.764,2021,Russian Grand Prix,True
LAT,Williams,18.0,19.0,DNF,1.0,101.38,108.252,2021,Russian Grand Prix,True
MSC,Haas F1 Team,14.0,20.0,Finished,1.0,103.647,109.83,2021,Russian Grand Prix,True
BOT,Mercedes,1.0,1.0,Finished,1.0,93.884,82.998,2021,Turkish Grand Prix,False
VER,Red Bull Racing,2.0,2.0,Finished,1.0,94.1865,83.196,2021,Turkish Grand Prix,False
PER,Red Bull Racing,6.0,3.0,Finished,1.0,94.4825,83.706,2021,Turkish Grand Prix,False
LEC,Ferrari,3.0,4.0,Finished,1.0,94.338,83.265,2021,Turkish Grand Prix,False
HAM,Mercedes,11.0,5.0,Finished,1.0,94.5875,82.868,2021,Turkish Grand Prix,False
GAS,AlphaTauri,4.0,6.0,Finished,1.0,94.2955,83.326,2021,Turkish Grand Prix,False
NOR,McLaren,7.0,7.0,Finished,1.0,94.597,83.954,2021,Turkish Grand Prix,False
SAI,Ferrari,19.0,8.0,Finished,1.0,94.51,85.177,2021,Turkish Grand Prix,False
STR,Aston Martin,8.0,9.0,Finished,1.0,94.8865,84.305,2021,Turkish Grand Prix,False
OCO,Alpine,12.0,10.0,Finished,0.0,95.714,84.842,2021,Turkish Grand Prix,False
GIO,Alfa Romeo Racing,16.0,11.0,Finished,1.0,95.447,86.43,2021,Turkish Grand Prix,False
RAI,Alfa Romeo Racing,17.0,12.0,Finished,1.0,95.543,87.525,2021,Turkish Grand Prix,False
RIC,McLaren,20.0,13.0,Finished,1.0,95.263,85.881,2021,Turkish Grand Prix,False
TSU,AlphaTauri,9.0,14.0,Finished,1.0,95.619,84.368,2021,Turkish Grand Prix,False
RUS,Williams,13.0,15.0,Finished,1.0,95.732,85.007,2021,Turkish Grand Prix,False
ALO,Alpine,5.0,16.0,Finished,1.0,95.602,83.477,2021,Turkish Grand Prix,False
LAT,Williams,15.0,17.0,Finished,1.0,95.298,86.086,2021,Turkish Grand Prix,False
VET,Aston Martin,10.0,18.0,Finished,2.0,95.212,84.795,2021,Turkish Grand Prix,False
MSC,Haas F1 Team,14.0,19.0,Finished,1.0,97.2155,85.2,2021,Turkish Grand Prix,False
MAZ,Haas F1 Team,18.0,20.0,Finished,1.0,97.638,88.449,2021,Turkish Grand Prix,False
VER,Red Bull Racing,1.0,1.0,Finished,2.0,100.439,92.91,2021,United States Grand Prix,False
HAM,Mercedes,2.0,2.0,Finished,2.0,100.5705,93.119,2021,United States Grand Prix,False
PER,Red Bull Racing,3.0,3.0,Finished,2.0,101.093,93.134,2021,United States Grand Prix,False
LEC,Ferrari,4.0,4.0,Finished,2.0,101.1135,93.606,2021,United States Grand Prix,False
RIC,McLaren,6.0,5.0,Finished,2.0,101.665,93.808,2021,United States Grand Prix,False
BOT,Mercedes,9.0,6.0,Finished,2.0,101.386,93.475,2021,United States Grand Prix,False
SAI,Ferrari,5.0,7.0,Finished,2.0,101.7805,93.792,2021,United States Grand Prix,False
NOR,McLaren,7.0,8.0,Finished,2.0,101.758,93.887,2021,United States Grand Prix,False
TSU,AlphaTauri,10.0,9.0,Finished,2.0,102.666,94.918,2021,United States Grand Prix,False
VET,Aston Martin,18.0,10.0,Finished,2.0,102.504,95.5,2021,United States Grand Prix,False
GIO,Alfa Romeo Racing,12.0,11.0,Finished,2.0,103.096,95.794,2021,United States Grand Prix,False
STR,Aston Martin,13.0,12.0,Finished,2.0,103.408,95.983,2021,United States Grand Prix,False
RAI,Alfa Romeo Racing,15.0,13.0,Finished,2.0,102.824,96.311,2021,United States Grand Prix,False
RUS,Williams,20.0,14.0,Finished,2.0,103.549,95.746,2021,United States Grand Prix,False
LAT,Williams,14.0,15.0,Finished,2.0,103.709,95.995,2021,United States Grand Prix,False
MSC,Haas F1 Team,16.0,16.0,Finished,2.0,104.0845,96.499,2021,United States Grand Prix,False
MAZ,Haas F1 Team,17.0,17.0,Finished,3.0,105.182,96.796,2021,United States Grand Prix,False
ALO,Alpine,19.0,18.0,Finished,3.0,103.084,104.549,2021,United States Grand Prix,False
OCO,Alpine,11.0,19.0,Finished,2.0,103.816,95.377,2021,United States Grand Prix,False
GAS,AlphaTauri,8.0,20.0,DNF,1.0,104.237,94.118,2021,United States Grand Prix,False
VER,Red Bull Racing,3.0,1.0,Finished,1.0,80.877,76.225,2021,Mexico City Grand Prix,False
HAM,Mercedes,2.0,2.0,Finished,1.0,80.772,76.02,2021,Mexico City Grand Prix,False
PER,Red Bull Racing,4.0,3.0,Finished,1.0,81.173,76.342,2021,Mexico City Grand Prix,False
GAS,AlphaTauri,5.0,4.0,Finished,1.0,81.491,76.456,2021,Mexico City Grand Prix,False
LEC,Ferrari,8.0,5.0,Finished,1.0,81.918,76.837,2021,Mexico City Grand Prix,False
SAI,Ferrari,6.0,6.0,Finished,1.0,81.9055,76.761,2021,Mexico City Grand Prix,False
VET,Aston Martin,9.0,7.0,Finished,1.0,81.8555,77.746,2021,Mexico City Grand Prix,False
RAI,Alfa Romeo Racing,10.0,8.0,Finished,1.0,81.928,77.958,2021,Mexico City Grand Prix,False
ALO,Alpine,12.0,9.0,Finished,1.0,82.198,78.452,2021,Mexico City Grand Prix,False
NOR,McLaren,18.0,10.0,Finished,1.0,82.2885,96.83,2021,Mexico City Grand Prix,False
